Mountain,Height,Region,Latitude,Longitude
Snowdon (Yr Wyddfa),1085m,Snowdon Massif,53.0685,-4.0763
Crib y Ddysgl (Garnedd Ugain),1065m,Snowdon Massif,53.0750,-4.0600
Carnedd Llewelyn,1064m,Carneddau,53.1604,-3.9719
Carnedd Dafydd,1044m,Carneddau,53.1473,-4.0012
Glyder Fawr,999m,Glyderau,53.1010,-4.0304
Glyder Fach,994m,Glyderau,53.1040,-4.0097
Pen yr Ole Wen,978m,Carneddau,53.1372,-4.0127
Foel Grach,976m,Carneddau,53.1731,-3.9650
Yr Elen,962m,Carneddau,53.1655,-3.9871
Y Garn,947m,Glyderau,53.1150,-4.0491
Foel-fras,942m,Carneddau,53.1940,-3.9539
Carnedd Gwenllian,926m,Carneddau,53.1829,-3.9669
Elidir Fawr,924m,Glyderau,53.1307,-4.0767
Crib Goch,923m,Snowdon Massif,53.0754,-4.0561
Tryfan,915m,Glyderau,53.1141,-3.9982
Aran Fawddwy,905m,Aran,52.7862,-3.6892
Y Lliwedd,898m,Snowdon Massif,53.0591,-4.0583
Cadair Idris - Penygadair,893m,Cadair Idris,52.6993,-3.9095
Pen y Fan,886m,Brecon Beacons,51.8833,-3.4371
Aran Benllyn,885m,Aran,52.8034,-3.6825
Corn Du,873m,Brecon Beacons,51.8814,-3.4443
Moel Siabod,872m,Moelwyns,53.0729,-3.9350
Mynydd Moel,863m,Cadair Idris,52.7051,-3.8861
Arenig Fawr,854m,Arenig,52.9167,-3.7464
Llwytmor,849m,Carneddau,53.2037,-3.9649
Pen yr Helgi Du,833m,Carneddau,53.1482,-3.9488
Foel-goch,831m,Glyderau,53.1303,-4.0528
Cadair Berwyn,830m,Berwyn,52.8801,-3.3821
Moel Sych,827m,Berwyn,52.8756,-3.3894
Carnedd y Filiast,821m,Glyderau,53.1435,-4.0654
Mynydd Perfedd,812m,Glyderau,53.1355,-4.0605
Waun Fach,811m,Black Mountains,51.9620,-3.1440
Bera Bach,807m,Carneddau,53.1898,-3.9897
Y Foel Goch,805m,Glyderau,53.1045,-3.9783
Fan Brycheiniog,802m,Carmarthen Fan,51.8823,-3.7089
Pen y Gadair Fawr,800m,Black Mountains,51.9514,-3.1234
Pen Llithrig y Wrach,799m,Carneddau,53.1423,-3.9216
